"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"896","b.d.o.",NA,"yes",80,2020-02-03 06:51:57,NA,"yrs or more",NA,NA,NA,8702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to bdo for urgent action to be taken to reduce the water crisis from amongst people as basic requirement.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"water","governance and accountability",NA,"panchayat","graduate cc",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_781_mojo","delayed service delivery or entitlement provision",2022-11-18 10:42:09,"gadke upartola",NA,2020-02-01,"https://youtu.be/08crej6msfq"
"897","panchayat official",NA,"yes",88,2020-01-08 06:30:42,NA,NA,NA,NA,NA,8476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"organize a meeting with the community. screen the related video. write an application and visit the bdo office with the community members. screen that video in front of the officer. take a receipt of the complaint from the bdo office. follow-up the process with officers and community till the end  ","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,NA,"guruprasad pednekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"department officer",NA,NA,"jh_755_mojo",NA,2022-11-18 10:42:09,"patura",NA,2020-01-08,"https://www.youtube.com/watch?v=xd0_pqfaukg&feature=youtu.be"
"898",NA,NA,"yes",88,2018-10-08 12:02:12,NA,NA,NA,NA,NA,11877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"charch karte ke saath of people in the village, meet the official concerned by writing an application, meet the cdpo and bdo, go to the village in the morning and talk about the issue","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"labour rights","livelihoods",NA,NA,"guruprasad pednekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018-09-03,"cdpo",NA,NA,"jh_1983",NA,2022-11-18 10:53:26,"amdega",NA,2018-12-01,"https://youtu.be/euc7fcqkfci"
"899","panchayat official","government official","yes",452,2022-11-23 10:25:16,"shikha paharin","yrs or more","visit a government office","no",NA,4872,NA,"yes","no",NA,25,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,2,"yes","panchayat officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device",NA,NA,NA,FALSE,"rural innovation","anti poverty programs",2022-11-24,"panchayat","shikha paharin","no",600,NA,NA,"tribals, adivasi, scheduled tribe, other lower castes (eg obc), muslims","yes","community members, panchayat official",20,"yes","community members",1,10,"yes","no",2022-11-15,"now","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the block to find out what's going on","jh_5427","low quality service delivery of entitlement provision",2022-12-15 13:03:15,"manjar",NA,2022-11-29,"https://youtu.be/wip2wmiiloo"
"900","panchayat official","government official","no",452,2022-12-29 09:50:22,"shikha paharin","yrs or more","don't know yet","no","icds",5104,NA,"yes","no",NA,9,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,1,"yes","block development officer or other block officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","education",2022-12-28,"village","shikha paharin","no",50,NA,NA,"children, no particular groups is affected -- the problem is cross-cutting","yes","community members",10,"yes","community members",3,15,"yes","no",2022-12-25,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","people came to him with their problems","jh_5448","low quality service delivery of entitlement provision",2023-01-20 12:04:32,"pachwakitta",NA,2022-12-30,"https://youtu.be/ezs7fpgw3iu"
"901","panchayat official","government official","yes",452,2022-11-26 07:58:57,"shikha paharin","yrs or more","sign an application","no","icds",4898,NA,"yes","no",NA,10,"yes",3,"no","no","no","no",NA,NA,NA,"no",NA,6,"yes","block development officer or other block officials","yes","yes","yes","no","others","have a meeting with the chief","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"education","livelihoods",2022-11-22,"block","shikha paharin","no",40,NA,NA,"muslims","yes","community members, bdo",12,"yes","community members, panchayat official, bdo",5,10,"yes","no",2022-11-25,"now","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5431","low quality service delivery of entitlement provision",2022-12-13 12:04:07,"pachua akitta",NA,2022-11-26,"https://youtu.be/8okd2yxqw_u"
"902","community members","government official","yes",452,2022-11-26 08:14:32,"shikha paharin","yrs or more","visit a government office","no","icds",4899,NA,"yes","yes",NA,9,"yes",1,"no","no","no","no",NA,NA,NA,"no",1,3,"yes","panchayat officials","yes","yes","yes","no","others","apply to cdpo","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","screening the video in the community on the device",NA,NA,NA,FALSE,"education","livelihoods",2022-11-23,"block","shikha paharin","no",40,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no","community members, news outlets or journalists",5,5,"yes","no",2022-11-25,"now","material problem (e.g. delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5432","low quality service delivery of entitlement provision",2022-12-13 11:58:38,"sanuar",NA,2022-11-26,"https://youtu.be/kkuz56u3f4o"
"903","panchayat official, bdo","government official","yes",452,2022-08-18 10:21:01,"shikha paharin","yrs or more","don't know yet","no","icds",4281,"total of 800 families live in manjar buzurg, a small village of basantrai block of godda district. there are 2 anganwadi centers here, but the maidservant of 1 anganwadi center lives outside, due to which the center does not open daily and neither the children here get education. meets | on which i made a video on august 13, 2022 and sent an application to the chief minister in the month of july, after which on august 28, 2022, an officer came from basantarai block and inquired from the people of the village, and on the same day the aganwadi was opened and now it is being run properly, 300 people were benefited by this change.","yes","no","yes",40,"yes",3,"no","no","no","no","yes","md nasim aktar, social activist",2022-09-24,"yes",0,0,"yes","district collector or district officials","no","yes","yes","no","social movement leaders, young people who want to help the village","adedan chief and bdo's denge","yes","yes","no","yes","screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device","jh_5382_impact",2022-09-26,"https://youtu.be/z4kfhiczvxg",TRUE,"anti poverty programs","livelihoods",2022-08-18,"panchayat","shikha paharin","no",150,300,4,"dalits, scheduled castes, muslims, children","yes",NA,NA,"no",NA,NA,NA,"no","no",2022-08-13,"now","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5382","low quality service delivery of entitlement provision",2022-10-07 11:38:21,"manjar mujurg",2,2022-08-19,"https://youtu.be/k5cvv_qkkgu"
"904","bdo, department bureaucrat",NA,"yes",88,2020-03-24 08:01:50,NA,NA,NA,NA,NA,9098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"organize a meeting with the community. screen the related video. write an application and visit the bdo office with the community members. screen that video in front of the officer. take a receipt of the complaint from the bdo office. follow-up the process with officers and community till the end  ","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,NA,"guruprasad pednekar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deepartment officer",NA,NA,"jh_822_mojo",NA,2022-11-18 10:42:09,"bartoli",NA,2020-03-19,"https://www.youtube.com/watch?v=owumuboshog&feature=youtu.be"
"905","b.d.o.",NA,"yes",94,2019-02-12 09:42:01,NA,"2-4 yrs",NA,"no",NA,5084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to bdo for urgent action to address for the water crisis in the village.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"water","water",NA,"village",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_461_mojo","denial of service delivery or entitlement provision",2022-11-18 10:44:01,"bansikata",NA,2019-02-12,NA
"906","bdo, district collector","government official","yes",104,2022-10-20 15:07:53,"shikha paharin","yrs or more","sign an application","yes",NA,4705,NA,"yes","yes",NA,50,"yes",2,"no","no","no","no",NA,NA,NA,"no",7,2,"yes","block development officer or other block officials , district collector or district officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","screened/shared a video about the problem, informed people about a government program or entitlement","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"power & energy","anti poverty programs",2022-10-27,"village","graduate cc","no",100,NA,NA,"tribals, adivasi, scheduled tribe, women, children","yes","community members",30,"yes","community members",1,10,"yes","no",2022-10-16,"dc ,bdo","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5416","low quality service delivery of entitlement provision",2022-11-16 07:27:04,"totke bhitta",NA,2022-10-31,"https://youtu.be/5odlay66z8e"
"907","bdo, district collector","government official","yes",104,2022-10-20 15:07:53,"shikha paharin","yrs or more","visit a government office","yes",NA,4705,NA,"yes","yes",NA,50,"yes",2,"no","no","no","no",NA,NA,NA,"no",7,2,"yes","block development officer or other block officials , district collector or district officials","yes","yes","yes","no","others",NA,"yes","yes","no","yes","screened/shared a video about the problem, informed people about a government program or entitlement","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"power & energy","anti poverty programs",2022-10-27,"village","graduate cc","no",100,NA,NA,"tribals, adivasi, scheduled tribe, women, children","yes","community members",30,"yes","community members",1,10,"yes","no",2022-10-16,"dc ,bdo","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5416","low quality service delivery of entitlement provision",2022-11-16 07:27:04,"totke bhitta",NA,2022-10-31,"https://youtu.be/5odlay66z8e"
"908","district collector, department bureaucrat-block level","government official","yes",104,2022-03-07 09:43:13,"shikha paharin","yrs or more","sign an application","yes",NA,3529,NA,"yes","yes",NA,30,"yes",1,"no","no","no","no",NA,NA,NA,"no",1,1,"yes","district collector or district officials","yes","yes","no","no","others","avedan likh akr cdpo aur bblock me de.local newspaper me mudda ko dale. dc se mulakat kar aanganawadi kholne ki mang kare.","yes","yes","no","yes","screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, speaking with the relevant authorities by phone",NA,NA,NA,FALSE,"anti poverty programs","health",2022-03-06,"village","graduate cc","no",500,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no","community members",3,10,"yes","no",2022-03-03,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5337","low quality service delivery of entitlement provision",2022-03-31 10:52:53,"keshkup",NA,2022-03-06,"https://youtu.be/fdsst990v0o"
"909","district collector, department bureaucrat-block level","government official","yes",104,2022-03-07 09:43:13,"shikha paharin","yrs or more","visit a government office","yes",NA,3529,NA,"yes","yes",NA,30,"yes",1,"no","no","no","no",NA,NA,NA,"no",1,1,"yes","district collector or district officials","yes","yes","no","no","others","avedan likh akr cdpo aur bblock me de.local newspaper me mudda ko dale. dc se mulakat kar aanganawadi kholne ki mang kare.","yes","yes","no","yes","screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, speaking with the relevant authorities by phone",NA,NA,NA,FALSE,"anti poverty programs","health",2022-03-06,"village","graduate cc","no",500,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no","community members",3,10,"yes","no",2022-03-03,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5337","low quality service delivery of entitlement provision",2022-03-31 10:52:53,"keshkup",NA,2022-03-06,"https://youtu.be/fdsst990v0o"
"910",NA,NA,"yes",93,2019-02-14 06:36:21,NA,"last 1 year",NA,"no",NA,5100,"organized community meeting and written application with signature of all person who attended this meeting. cc meet with block development officer and mr. vijal hansda member of parliament, rajmahal given application and shown the issue video to him for the resolve on this issue. finally in january 2020, road constructed till bararwah..............................................................................................................................................................................................",NA,NA,"yes",NA,NA,NA,"no",NA,NA,NA,"yes","?",2020-01-15,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to bdo for looking into this difficulties for general public due to bad road conditions. how this affects children, crop and vehicles for communication related problems to address soon.","yes",NA,"no",NA,NA,"no",NA,"jh_465_mojo_impact",NA,NA,TRUE,"governance and accountability","rural innovation",NA,"panchayat",NA,NA,50,10000,1,NA,NA,NA,NA,"yes",NA,NA,NA,"yes",NA,NA,"b.d.o.",NA,NA,"jh_465_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"bada digadiha",200,2019-02-14,NA
"911","b.d.o.",NA,"yes",351,2019-03-01 07:41:07,NA,"2-4 yrs",NA,"no",NA,5263,"community correspondent buddilal shown the video before block development officer, bargadh, gadhwa and given application to him. he also keep this matter before gram sabha then gram sabha taken this matter seriously and putted it before authority for approval of construction of bridge for adjoining the two states (jharkhand and chhatisgarh). finally bridge constructed in november'2019. now approximately 2000 people everyday are getting benefit from this bridge.............................................................................................",NA,NA,"yes",NA,NA,NA,"no",NA,NA,NA,"no","pankaj",2019-11-27,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this to bdo for solving the problem for the public communication.","yes",NA,"no",NA,NA,"no",NA,"jh_488_mojo_impact",NA,NA,TRUE,"crumbling infrastructure","crumbling infrastructure",NA,"community(samuday)",NA,NA,50,2000,1,NA,NA,NA,NA,"yes",NA,NA,NA,"yes",NA,NA,"b.d.o.",NA,NA,"jh_488_mojo","low quality service delivery of entitlement provision",2022-11-18 10:42:09,"uttra road",100,2019-02-28,NA
"912","department bureaucrat",NA,"yes",351,2019-01-29 07:41:55,NA,"last 1 year",NA,"yes",NA,4915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"how yadav caste people have attacked adivasi villagers from saruwat path with threatening to kill them from their life and their corn field is being trampled upon and destroyed by freeing animals to graze on their land are such harassment going on there. anshuman input on 29/01/2019 regarding to cc, the land touched by the forest right act, has to travel 25-30 km away from the hilly area, where the yadav community will not be able to cultivate the land. ko janwaro se charawa dete hai, un yadav logo ka commection, maodi, van vibhag aur police force in teeno se hai, mamala thoda sensitive hai isliye hamne unse kaha hai ki wo community se bat kare agar wo ladane aur aage badhane ko taiyaar hai to ham log usi account se aage badhege aur sabase pahale police station me fir karwayage, aur fir sp se milkar bat karega.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"indigenous peoples","governance and accountability",NA,"village",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"superintendent of police",NA,NA,"jh_449_mojo","caste discrimination",2022-11-18 10:42:09,"sarubat path",NA,2019-01-29,NA
"913","b.d.o.",NA,"yes",77,2018-09-24 08:00:54,NA,"2-4 yrs",NA,NA,NA,3781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo, screen video, give an application sign by applicants","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_345_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"bhandari",NA,2018-09-24,NA
"914","b.d.o.",NA,"yes",77,2018-09-23 03:16:11,NA,"last 1 year",NA,NA,NA,3767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo screen video, give an application. submit alldocuments.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_343_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"bhandara",NA,2018-09-20,NA
"915","district collector",NA,"yes",77,2018-09-28 07:54:28,NA,"last 1 year",NA,"yes",NA,3839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"share video in local community, share to dc, give an application to dc, sign by all applicants.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"governance and accountability",NA,NA,"panchayat",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dc",NA,NA,"jh_352_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,NA,NA,2018-09-28,NA
"916","department bureaucrat",NA,"yes",350,2019-03-07 12:40:23,NA,"yrs or more",NA,"no",NA,5373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to the electricity supply officer signed by the villagers. keep a copy of the letter and submit to the office. take some villagers along with you to the office. show this mojo to the electricity supply officer","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"power & energy",NA,NA,"village","mst soriya banu",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"electricity supply board",NA,NA,"jh_495_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"angariya",NA,2019-03-06,NA
"917","panchayat official, bdo",NA,"yes",77,2018-11-26 07:34:32,NA,"last 6 months",NA,"no",NA,4252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to pradhan, signed by the villagers. submit it to the office and take some villagers with you. keep a copy of the letter and show this mojo to pradhan.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"corruption",NA,NA,"panchayat",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"panchayat pradhan",NA,NA,"jh_388_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"champaba",NA,2018-11-26,NA
"918","b.d.o.",NA,"yes",77,2018-09-05 10:27:19,NA,"last 1 year",NA,NA,NA,3611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"viist to bdo with an application, give all related document, screen video","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,"individual",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_316_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"tingiriya",NA,2018-09-04,NA
"919","panchayat official, bdo",NA,"yes",77,2018-11-30 12:40:27,NA,"last 6 months",NA,NA,NA,4323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to the bdo signed by the villagers. keep a copy of the letter and submit to the office. take some villagers along with you to the office. show this mojo to the bdo","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"labour rights",NA,NA,"neighborhood",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_397_mojo","corruption/bribery",2022-11-18 10:44:01,"timda",NA,2018-11-30,NA
"920","panchayat official, bdo",NA,"yes",77,2018-11-22 11:34:40,NA,"last 6 months",NA,"yes",NA,4237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to the je signed by the villagers. submit it to the office and take some villagers with you. keep a copy of the letter and show this mojo to the je.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"water",NA,NA,"panchayat",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"junior engineer water and sanitation department",NA,NA,"jh_386_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"konsia",NA,2018-11-22,NA
"921","panchayat official, bdo, district collector","government official","yes",77,2020-11-30 14:22:07,"xavier hamsay","2-4 yrs","don't know yet","no","pm awas yojana",1026,NA,"yes","yes",NA,12,"yes",2,"no","no","no","no",NA,NA,NA,"no",1,NA,"yes","panchayat officials, block development officer or other block officials","no","yes","no","no",NA,"visit to bdo office with community members, screen video to bdo. visit to dc office give an application for investigation this issue.","yes","yes","no","yes","told people about the problem (in person)","no","helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, speaking with the relevant authorities by phone",NA,NA,NA,FALSE,"corruption","anti poverty programs",2020-11-30,"individual",NA,"no",4,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-11-30,"dm","an entitlement problem - meaning a government anti-poverty scheme that people apply for, corruption","people came to him with their problems","jh_5092","corruption/bribery",2022-03-30 13:01:53,"bingburu",NA,2020-12-01,"https://youtu.be/o16cawdxhyg"
"922","panchayat official, bdo, department bureaucrat-block level","government official","yes",77,2020-11-11 10:56:51,"xavier hamsay","last 1 year","sign an application","no",NA,918,NA,"yes","no",NA,8,"yes",1,"no","no","no","no",NA,NA,NA,"no",NA,1,"yes","block development officer or other block officials","yes","yes","no","no",NA,"by making an application, meet the sdm and ask them to give houses to the families of the victims. dm also mail. take samuday ko saath me jay. the local media gave news so that it could be effective.","yes","yes","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage, helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, speaking with the relevant authorities by phone",NA,NA,NA,FALSE,"anti poverty programs","indigenous peoples",2020-12-30,"neighborhood",NA,"no",12,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-11-11,"dm","a material problem (eg delivery of a service, repair of infrastructure), adivasi issues","people came to him with their problems","jh_5070","delayed service delivery or entitlement provision",2022-03-30 13:01:53,"bingburu",NA,2020-12-30,"https://youtu.be/xcm3hadq-wc"
"923","panchayat official, bdo, department bureaucrat-block level","government official","yes",77,2020-11-11 10:56:51,"xavier hamsay","last 1 year","visit a government office","no",NA,918,NA,"yes","no",NA,8,"yes",1,"no","no","no","no",NA,NA,NA,"no",NA,1,"yes","block development officer or other block officials","yes","yes","no","no",NA,"by making an application, meet the sdm and ask them to give houses to the families of the victims. dm also mail. take samuday ko saath me jay. the local media gave news so that it could be effective.","yes","yes","no","yes","told people about the problem (in person)","no","making a social media post, explaining the problem and showing some of the footage, helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, speaking with the relevant authorities by phone",NA,NA,NA,FALSE,"anti poverty programs","indigenous peoples",2020-12-30,"neighborhood",NA,"no",12,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-11-11,"dm","a material problem (eg delivery of a service, repair of infrastructure), adivasi issues","people came to him with their problems","jh_5070","delayed service delivery or entitlement provision",2022-03-30 13:01:53,"bingburu",NA,2020-12-30,"https://youtu.be/xcm3hadq-wc"
"924","bdo, district collector, department bureaucrat",NA,"yes",77,2018-11-26 06:33:31,NA,"last 3 months",NA,"no",NA,4249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to the bdo signed by the villagers. submit it to the office and take some villagers with you. keep a copy of the letter and show this mojo to bdo. anshuman input & on 04/12/2018 community screening & meeting kare aayojan kare puri samasya par samuhik charcha kare, contractor se bat karke karne daav banawaye ki anusar ke promise mazbut pull ka nirman kare agar mamala naa ho ho to sdm ke naam likhe uske bad us application ki 1 photocopy karwaye uske bad community ke saath sdm se mile unko video dikhaye samasya par charcha kare aur likhit application de aur dusari copy par unse receiving le. uprokt sabhi process ko achche se interview sahit bhi shoot karte rhe. impact process successful work are started- anshuman updated on 12/12/2018","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,"block",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_387_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"konsia",NA,2018-11-26,NA
"925","department bureaucrat",NA,"yes",77,2019-04-18 10:32:39,NA,"last 1 year",NA,"no",NA,5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to the district education superintendent signed by the villagers. keep a copy of the letter and submit to the office. take some villagers along with you to the office. show this mojo to the district education superintendent","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"education",NA,NA,"block",NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"district education superintendent",NA,NA,"jh_522_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"konaseya, dudur, leyangi",NA,2019-04-15,NA
